init_label,Def_total_Hm3,Rebalse_total_Hm3,Satisf_prom_pct,TOTAL_fin_Hm3,Qturb_total_Hm3,Qdis_prom_Hm3_mes,FE
Init 0%,2884.106704080001,1592.5756287406612,74.67172366904025,131.9750243393531,3310.9525596606595,57.7071264,0.5
Init 25%,2842.0398420225097,1685.4921122256612,76.49973069279542,132.09167879685393,3445.935905203151,57.7071264,0.5
Init 50%,2823.57977335583,1801.9320435589946,77.3019092611796,132.0916787968546,3580.8359052031633,57.7071264,0.5
Init 75%,2817.113506480842,1930.5657766839947,77.58289958674273,132.0916787968539,3715.935905203151,57.7071264,0.5
Init 100%,2817.1135064808445,2065.4657766839946,77.58289958674261,132.09167879684955,3850.8359052031483,57.7071264,0.5
Init 0%,2744.7603845772283,1494.2704772507632,67.27249161356949,90.93385632656157,3351.993727673554,57.7071264,0.6
Init 25%,2705.563906000663,1590.1739986741004,68.69188751967305,90.93385632656685,3487.0937276734367,57.7071264,0.6
Init 50%,2681.014393189163,1700.5244858626,69.5808826347167,90.93385632656668,3621.9937276734368,57.7071264,0.6
Init 75%,2670.1727244851627,1824.7828171586,69.97348474420795,90.93385632656668,3757.0937276734367,57.7071264,0.6
Init 100%,2670.1727244851627,1959.6828171586,69.97348474420795,90.93385632656668,3891.9937276734368,57.7071264,0.6
Init 0%,2614.8903081915737,1399.0336546249166,61.693191404422095,56.300602566667315,3386.6269814333427,57.7071264,0.7
Init 25%,2560.8185262699076,1480.06187270325,63.37153311883512,56.30060256666724,3521.7269814333426,57.7071264,0.7
Init 50%,2528.7738275632405,1582.9171739965834,64.36617307065157,56.30060256666729,3656.6269814333423,57.7071264,0.7
Init 75%,2512.0880975058244,1701.331443939167,64.88408381439896,56.30060256666735,3791.7269814333413,57.7071264,0.7
Init 100%,2512.0880975058244,1836.2314439391669,64.88408381439896,56.30060256666736,3926.626981433341,57.7071264,0.7
Init 0%,2512.247752333334,1323.8380412666736,56.76923723235211,28.853660066667214,3414.0739239333393,57.7071264,0.8
Init 25%,2445.646599786667,1392.3368887200004,58.57807453163637,28.853660066667185,3549.173923933333,57.7071264,0.8
Init 50%,2409.254374213334,1490.844663146667,59.566460055068355,28.85366006666725,3684.073923933333,57.7071264,0.8
Init 75%,2390.7981141466676,1607.4884030800001,60.0677182215916,28.853660066667278,3819.1739239333324,57.7071264,0.8
Init 100%,2390.7981141466676,1742.3884030800143,60.067718221591605,28.853660066650537,3954.073923933347,57.7071264,0.8
Init 0%,2447.0089877383357,1270.6329507783355,52.03650942021736,17.0908192933333,3426.107598040008,57.7071264,0.9
Init 25%,2376.879145537822,1335.6031085783347,53.729552852178635,17.090819293265444,3561.207598040508,57.7071264,0.9
Init 50%,2339.7235196316683,1433.3474826716683,54.626547432901695,17.09081929333786,3696.107598039995,57.7071264,0.9
Init 75%,2321.1650195650022,1549.8889826050026,55.07457848015665,17.09081929333786,3831.2075980399954,57.7071264,0.9
Init 100%,2321.1650195650022,1684.7889826050025,55.07457848015665,17.090819293337884,3966.107598039995,57.7071264,0.9
Init 0%,2396.664305206812,1227.3648772735069,47.92671750136896,10.068376933333278,3433.1842070667226,57.7071264,1.0
Init 25%,2323.637603646795,1289.4381757135038,49.513397810336905,10.06837693330077,3568.2842070667434,57.7071264,1.0
Init 50%,2284.4576063001264,1385.158178366837,50.36467725973508,10.068376933300854,3703.184207066746,57.7071264,1.0
Init 75%,2265.796866233462,1501.5974383001703,50.7701266115754,10.06837693330078,3838.2842070667443,57.7071264,1.0
Init 100%,2265.7968662334674,1636.4974383001706,50.77012661157528,10.068376933300854,3973.1842070667303,57.7071264,1.0
