period_years,iter,interval_start,interval_end,FEA,FEB,VRFI0,A0,B0,Qturb_total_Hm3,Rebalse_total_Hm3,Qdis_prom_Hm3_mes,Satisf_prom_pct,Def_modelo_Hm3,Def_FE_Hm3,Def_total_Hm3,VRFI_fin_Hm3,A_fin_Hm3,B_fin_Hm3,TOTAL_fin_Hm3
10,1,1989/1990,1998/1999,0.5,0.5,0.0,0.0,0.0,7994.154785999994,4665.478962060001,67.09193280000004,72.32346897720149,1273.8078110600002,4602.483634999998,5876.291446059998,0.0,0.0,18.85214999999998,18.85214999999998
10,2,1999/2000,2008/2009,0.5,0.5,0.0,0.0,0.0,8494.397177999996,4699.956880490001,72.57346559999999,82.44331970362344,808.0433374900003,4602.483634999998,5410.526972489998,116.05039400000005,0.0,59.3683,175.41869400000004
10,3,2009/2010,2018/2019,0.5,0.5,0.0,0.0,0.0,3800.299002000002,536.4033474137999,33.45598079999999,70.9159643668391,1338.5879804137996,4602.483634999998,5941.071615413797,116.05039399999976,0.0,59.36830000000009,175.41869399999985
10,1,1989/1990,1998/1999,0.5,0.5,43.8,65.0,26.3,8129.254785999993,4670.991278060002,67.09193280000004,75.13907234001499,1144.22012706,4602.483634999998,5746.703762059998,0.0,0.0,18.85214999999998,18.85214999999998
10,2,1999/2000,2008/2009,0.5,0.5,43.8,65.0,26.3,8629.497178,4796.259279240001,72.57346559999999,83.28629068031438,769.2457362400003,4602.483634999998,5371.729371239998,116.05039400000005,0.0,59.36829999999999,175.41869400000004
10,3,2009/2010,2018/2019,0.5,0.5,43.8,65.0,26.3,3935.3990020000015,664.0176798388001,33.45598079999999,71.07860845574089,1331.1023128388003,4602.483634999998,5933.585947838798,116.05039400000003,0.0,59.36829999999999,175.41869400000002
10,1,1989/1990,1998/1999,0.5,0.5,87.5,130.0,52.5,8264.15478599999,4733.928467310001,67.09193280000004,76.70263706847491,1072.2573163100003,4602.483634999998,5674.740951309998,0.0,0.0,18.85214999999998,18.85214999999998
10,2,1999/2000,2008/2009,0.5,0.5,87.5,130.0,52.5,8764.397178000001,4931.159279240001,72.57346559999999,83.28629068031438,769.2457362400002,4602.483634999998,5371.729371239998,116.05039400000005,0.0,59.36829999999999,175.41869400000004
10,3,2009/2010,2018/2019,0.5,0.5,87.5,130.0,52.5,4070.2990020000043,798.9176798388003,33.45598079999999,71.07860845574089,1331.1023128387965,4602.483634999998,5933.585947838794,116.05039399999953,0.0,59.36829999999999,175.4186939999995
10,1,1989/1990,1998/1999,0.5,0.5,131.3,195.0,78.8,8399.254785999998,4830.23086606,67.09193280000004,77.54560804516582,1033.4597150600002,4602.483634999998,5635.943350059998,0.0,0.0,18.85214999999998,18.85214999999998
10,2,1999/2000,2008/2009,0.5,0.5,131.3,195.0,78.8,8899.497178000003,5066.25927924,72.57346559999999,83.28629068031438,769.2457362400002,4602.483634999998,5371.729371239998,116.05039400000005,0.0,59.36829999999999,175.41869400000004
10,3,2009/2010,2018/2019,0.5,0.5,131.3,195.0,78.8,4205.399002000001,934.0176798388003,33.45598079999999,71.07860845574089,1331.102312838799,4602.483634999998,5933.5859478387965,116.05039399999981,0.0,59.3683000000001,175.4186939999999
10,1,1989/1990,1998/1999,0.5,0.5,175.0,260.0,105.0,8534.154786,4965.130866060002,67.09193280000004,77.54560804516582,1033.45971506,4602.483634999998,5635.943350059998,0.0,0.0,18.85214999999998,18.85214999999998
10,2,1999/2000,2008/2009,0.5,0.5,175.0,260.0,105.0,9034.397178000005,5201.159279240001,72.57346559999999,83.28629068031438,769.2457362400003,4602.483634999998,5371.729371239998,116.05039400000005,0.0,59.36829999999999,175.41869400000004
10,3,2009/2010,2018/2019,0.5,0.5,175.0,260.0,105.0,4340.299001999997,1068.9176798387998,33.45598079999999,71.07860845574086,1331.1023128388001,4602.483634999998,5933.585947838797,116.05039400000007,0.0,59.36829999999999,175.41869400000007
10,1,1989/1990,1998/1999,0.6,0.6,0.0,0.0,0.0,8011.709356000004,4449.278122080001,67.09193280000004,64.5019717692778,1960.5491280799988,3681.9869080000003,5642.536036079999,0.0,0.0,1.6225800000000135,1.6225800000000135
10,2,1999/2000,2008/2009,0.6,0.6,0.0,0.0,0.0,8524.349983700004,4354.099123364001,72.57346559999999,75.50725490586126,1352.7295016640003,3681.9869080000003,5034.716409664001,95.22392830000015,0.0,50.241960000000006,145.46588830000016
10,3,2009/2010,2018/2019,0.6,0.6,0.0,0.0,0.0,3868.0501465406005,420.7209881606003,33.45598079999999,62.41791446695707,2075.6512036199983,3681.9869080000003,5757.638111619999,57.42558945940014,0.0,50.241960000000006,107.66754945940015
10,1,1989/1990,1998/1999,0.6,0.6,43.8,65.0,26.3,8146.809356000004,4449.278122080001,67.09193280000004,66.94811481424559,1825.4491280799991,3681.9869080000003,5507.436036079999,0.0,0.0,1.6225800000000135,1.6225800000000135
10,2,1999/2000,2008/2009,0.6,0.6,43.8,65.0,26.3,8659.449983700004,4465.153704484,72.57346559999999,75.94262525491122,1328.6840827840003,3681.9869080000003,5010.670990784,95.22392830000015,0.0,50.241960000000006,145.46588830000016
10,3,2009/2010,2018/2019,0.6,0.6,43.8,65.0,26.3,4003.1501465406004,542.4489814406,33.45598079999999,62.660030242200534,2062.279196899999,3681.9869080000003,5744.2661049,57.42558945940011,0.0,50.241960000000006,107.6675494594001
10,1,1989/1990,1998/1999,0.6,0.6,87.5,130.0,52.5,8281.709356000008,4455.230503451001,67.09193280000004,69.28286181997831,1696.5015094509995,3681.9869080000003,5378.488417451,0.0,0.0,1.6225800000000135,1.6225800000000135
