period_years,iter,interval_start,interval_end,FEA,FEB,VRFI0,A0,B0,Qturb_total_Hm3,Rebalse_total_Hm3,Qdis_prom_Hm3_mes,Satisf_prom_pct,Def_modelo_Hm3,Def_FE_Hm3,Def_total_Hm3,VRFI_fin_Hm3,A_fin_Hm3,B_fin_Hm3,TOTAL_fin_Hm3
5,1,1989/1990,1993/1994,0.5,0.5,0.0,0.0,0.0,4156.0877322999995,2480.9785874100003,73.09655999999998,72.79153073577417,626.13267261,2301.2418175,2927.37449011,142.65481770000005,0.0,67.55104999999999,210.20586770000006
5,2,1994/1995,1998/1999,0.5,0.5,0.0,0.0,0.0,3627.861186000001,1974.2945069500004,61.08730559999999,71.85540721862884,647.6751384499996,2301.2418175,2948.9169559499996,0.0,0.0,18.85214999999998,18.85214999999998
5,3,1999/2000,2003/2004,0.5,0.5,0.0,0.0,0.0,4549.468503199997,2572.4070068500005,79.05625920000003,85.91280939340051,324.1803211499999,2301.2418175,2625.42213865,116.05039400000001,0.0,58.35665479999999,174.40704879999998
5,4,2004/2005,2008/2009,0.5,0.5,0.0,0.0,0.0,3770.521626000001,2003.9671198400008,66.090672,76.76527050421552,534.6873113400001,2301.2418175,2835.92912884,116.05039400000005,0.0,59.3683,175.41869400000004
5,5,2009/2010,2013/2014,0.5,0.5,0.0,0.0,0.0,1544.9737529639006,5.378540319999985,26.6219712,66.90280008541087,761.6466048561001,2301.2418175,3062.8884223561,21.06370912999996,0.0,11.780809906099918,32.84451903609988
5,6,2014/2015,2018/2019,0.5,0.5,0.0,0.0,0.0,2222.4807299999998,513.13552154,40.2899904,74.27925198738923,591.8966090399999,2301.2418175,2893.1384265399997,116.05039400000003,0.0,59.36829999999999,175.41869400000002
5,1,1989/1990,1993/1994,0.5,0.5,43.8,65.0,26.3,4291.187732299999,2486.49090341,73.09655999999998,78.42273746140113,496.5449886099998,2301.2418175,2797.78680611,142.65481770000005,0.0,67.55104999999999,210.20586770000006
5,2,1994/1995,1998/1999,0.5,0.5,43.8,65.0,26.3,3762.9611860000014,2109.3945069500005,61.08730559999999,71.85540721862884,647.6751384499996,2301.2418175,2948.9169559499996,0.0,0.0,18.85214999999998,18.85214999999998
5,3,1999/2000,2003/2004,0.5,0.5,43.8,65.0,26.3,4684.568503199997,2668.7094056000005,79.05625920000003,87.59875134678238,285.3827199,2301.2418175,2586.6245374,116.05039400000001,0.0,58.35665479999999,174.40704879999998
5,4,2004/2005,2008/2009,0.5,0.5,43.8,65.0,26.3,3905.621626,2088.2428248400006,66.090672,78.97383001384647,483.86301633999983,2301.2418175,2785.1048338399996,116.05039400000005,0.0,59.3683,175.41869400000004
5,5,2009/2010,2013/2014,0.5,0.5,43.8,65.0,26.3,1679.3738262189004,132.29294599999997,26.6219712,67.22808826321445,754.1609372810999,2301.2418175,3055.4027547810997,21.063709129999953,0.0,12.48073665109996,33.54444578109991
5,6,2014/2015,2018/2019,0.5,0.5,43.8,65.0,26.3,2357.58073,623.8857832200002,40.2899904,75.33736496512279,567.54687072,2301.2418175,2868.78868822,116.05039400000003,0.0,59.36829999999999,175.41869400000002
5,1,1989/1990,1993/1994,0.5,0.5,87.5,130.0,52.5,4426.087732299997,2549.42809266,73.09655999999998,81.54986691832099,424.5821778599999,2301.2418175,2725.8239953599996,142.65481770000005,0.0,67.55104999999999,210.20586770000006
5,2,1994/1995,1998/1999,0.5,0.5,87.5,130.0,52.5,3897.861186000001,2244.2945069500006,61.08730559999999,71.85540721862884,647.6751384499996,2301.2418175,2948.9169559499996,0.0,0.0,18.85214999999998,18.85214999999998
5,3,1999/2000,2003/2004,0.5,0.5,87.5,130.0,52.5,4819.468503199998,2803.6094056,79.05625920000003,87.59875134678238,285.38271990000004,2301.2418175,2586.6245374,116.05039400000001,0.0,58.35665479999999,174.40704879999998
5,4,2004/2005,2008/2009,0.5,0.5,87.5,130.0,52.5,4040.521626,2184.3452235900004,66.090672,80.65977196722832,445.06541508999993,2301.2418175,2746.30723259,116.05039400000005,0.0,59.3683,175.41869400000004
5,5,2009/2010,2013/2014,0.5,0.5,87.5,130.0,52.5,1814.273826218901,267.19294599999995,26.6219712,67.22808826321446,754.1609372810999,2301.2418175,3055.4027547810997,21.063709129999953,0.0,12.480736651099988,33.54444578109994
5,6,2014/2015,2018/2019,0.5,0.5,87.5,130.0,52.5,2492.4807299999998,758.7857832200001,40.2899904,75.33736496512279,567.54687072,2301.2418175,2868.78868822,116.05039400000003,0.0,59.36829999999999,175.41869400000002
5,1,1989/1990,1993/1994,0.5,0.5,131.3,195.0,78.8,4561.187732299996,2645.7304914099996,73.09655999999998,83.23580887170284,385.7845766099999,2301.2418175,2687.0263941099997,142.65481770000005,0.0,67.55104999999999,210.20586770000006
5,2,1994/1995,1998/1999,0.5,0.5,131.3,195.0,78.8,4032.9611860000014,2379.3945069500005,61.08730559999999,71.85540721862886,647.6751384499996,2301.2418175,2948.9169559499996,0.0,0.0,18.85214999999998,18.85214999999998
5,3,1999/2000,2003/2004,0.5,0.5,131.3,195.0,78.8,4954.568503199997,2938.7094056000005,79.05625920000003,87.59875134678238,285.3827199,2301.2418175,2586.6245374,116.05039400000001,0.0,58.35665479999999,174.40704879999998
5,4,2004/2005,2008/2009,0.5,0.5,131.3,195.0,78.8,4175.621625999998,2319.4452235900003,66.090672,80.65977196722832,445.0654150899999,2301.2418175,2746.30723259,116.05039400000005,0.0,59.3683,175.41869400000004
5,5,2009/2010,2013/2014,0.5,0.5,131.3,195.0,78.8,1949.373826218901,402.29294600000003,26.6219712,67.22808826321446,754.1609372811,2301.2418175,3055.4027547810997,21.063709129999985,0.0,12.480736651100003,33.54444578109999
5,6,2014/2015,2018/2019,0.5,0.5,131.3,195.0,78.8,2627.58073,893.8857832200001,40.2899904,75.33736496512279,567.54687072,2301.2418175,2868.78868822,116.05039400000003,0.0,59.36829999999999,175.41869400000002
5,1,1989/1990,1993/1994,0.5,0.5,175.0,260.0,105.0,4696.087732299997,2780.630491410001,73.09655999999998,83.23580887170286,385.7845766099999,2301.2418175,2687.0263941099997,142.65481770000005,0.0,67.55104999999999,210.20586770000006
5,2,1994/1995,1998/1999,0.5,0.5,175.0,260.0,105.0,4167.861186,2514.2945069500006,61.08730559999999,71.85540721862886,647.6751384499996,2301.2418175,2948.9169559499996,0.0,0.0,18.85214999999998,18.85214999999998
5,3,1999/2000,2003/2004,0.5,0.5,175.0,260.0,105.0,5089.468503199997,3073.6094056,79.05625920000003,87.59875134678238,285.3827199,2301.2418175,2586.6245374,116.05039400000003,0.0,58.35665479999999,174.4070488
5,4,2004/2005,2008/2009,0.5,0.5,175.0,260.0,105.0,4310.521625999997,2454.34522359,66.090672,80.65977196722835,445.0654150899996,2301.2418175,2746.3072325899993,116.05039400000008,0.0,59.3683,175.41869400000007
5,5,2009/2010,2013/2014,0.5,0.5,175.0,260.0,105.0,2084.273826218901,537.1929459999999,26.6219712,67.22808826321446,754.1609372810998,2301.2418175,3055.4027547810997,21.063709129999985,0.0,12.480736651100031,33.544445781100016
5,6,2014/2015,2018/2019,0.5,0.5,175.0,260.0,105.0,2762.4807300000007,1028.78578322,40.2899904,75.33736496512282,567.5468707199999,2301.2418175,2868.7886882199996,116.05039400000003,0.0,59.36829999999999,175.41869400000002
5,1,1989/1990,1993/1994,0.6,0.6,0.0,0.0,0.0,4201.2568672,2381.9353673000005,73.09655999999998,65.8818746638158,942.1686810999996,1840.993453999999,2783.1621350999985,104.97547280000003,0.0,60.061260000000004,165.03673280000004
