period_years,FEA,FEB,init_label,Satisf_prom_pct_mean,Satisf_prom_pct_std,Satisf_prom_pct_min,Satisf_prom_pct_max,Def_total_Hm3_mean,Def_total_Hm3_std,Def_total_Hm3_min,Def_total_Hm3_max,Def_modelo_Hm3_mean,Def_modelo_Hm3_std,Def_modelo_Hm3_min,Def_modelo_Hm3_max,Def_FE_Hm3_mean,Def_FE_Hm3_std,Def_FE_Hm3_min,Def_FE_Hm3_max,Rebalse_total_Hm3_mean,Rebalse_total_Hm3_std,Rebalse_total_Hm3_min,Rebalse_total_Hm3_max,Qturb_total_Hm3_mean,Qturb_total_Hm3_std,Qturb_total_Hm3_min,Qturb_total_Hm3_max,Qdis_prom_Hm3_mes_mean,Qdis_prom_Hm3_mes_std,Qdis_prom_Hm3_mes_min,Qdis_prom_Hm3_mes_max,VRFI_fin_Hm3_mean,VRFI_fin_Hm3_std,VRFI_fin_Hm3_min,VRFI_fin_Hm3_max,A_fin_Hm3_mean,A_fin_Hm3_std,A_fin_Hm3_min,A_fin_Hm3_max,B_fin_Hm3_mean,B_fin_Hm3_std,B_fin_Hm3_min,B_fin_Hm3_max,TOTAL_fin_Hm3_mean,TOTAL_fin_Hm3_std,TOTAL_fin_Hm3_min,TOTAL_fin_Hm3_max
10,0.5,0.5,0%,75.15643555715597,6.321783608954705,70.85260520619435,82.41449714955968,5745.904622832572,290.95905604225266,5411.853525823971,5943.987710413743,1143.4209878325744,290.9590560422524,809.3698908239734,1341.504075413745,4602.483634999998,0.0,4602.483634999998,4602.483634999998,3303.1293414992397,2393.58473912109,539.3194424137455,4701.283433823974,6762.191988666662,2577.3510588711974,3800.299002000001,8494.397177999996,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,77.80026266666664,66.2511708655156,1.3,116.05039400000008,0.0,0.0,0.0,0.0,45.86291666666667,23.39201010902727,18.85214999999998,59.36830000000002,123.6631793333333,89.64318097454286,20.15214999999998,175.41869400000007
10,0.5,0.5,100%,77.24217573473408,6.1238527256309725,71.01524929509513,83.2574681262506,5649.90877249092,281.849319528667,5373.055924573972,5936.502042838791,1047.4251374909222,281.849319528667,770.5722895739743,1334.018407838793,4602.483634999998,0.0,4602.483634999998,4602.483634999998,3747.133491157579,2319.865363262816,1071.833774838762,5202.485832573973,7302.191988666657,2577.3510588712224,4340.299001999968,9034.397178000005,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,77.80026266666431,66.25117086551359,1.3,116.05039400000008,0.0,0.0,0.0,0.0,45.862916666666656,23.392010109027268,18.85214999999998,59.36830000000002,123.66317933333096,89.64318097454084,20.15214999999998,175.41869400000007
10,0.5,0.5,25%,76.43999716635089,6.238809075352458,71.01524929509654,83.2574681262506,5686.828909824234,287.1401667119919,5373.055924573972,5936.502042838727,1084.3452748242364,287.14016671199226,770.5722895739742,1334.0184078387297,4602.483634999998,0.0,4602.483634999998,4602.483634999998,3379.153628490918,2349.6779496669574,666.9337748387804,4797.585832573974,6897.291988666679,2577.351058871169,3935.399002000053,8629.497177999998,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,77.80026266666603,66.25117086551506,1.3,116.05039400000008,0.0,0.0,0.0,0.0,45.862916666666656,23.392010109027268,18.85214999999998,59.36830000000002,123.66317933333266,89.64318097454232,20.15214999999998,175.41869400000007
10,0.5,0.5,50%,76.96118540917034,6.128624440619052,71.01524929509497,83.2574681262506,5662.841306240924,282.0689369301013,5373.055924573972,5936.502042838797,1060.3576712409265,282.06893693010153,770.5722895739742,1334.0184078387992,4602.483634999998,0.0,4602.483634999998,4602.483634999998,3490.066024907592,2330.1519449923103,801.8337748388008,4932.485832573974,7032.191988666663,2577.3510588711997,4070.299002000002,8764.397178000003,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,77.80026266666664,66.25117086551559,1.3,116.05039400000008,0.0,0.0,0.0,0.0,45.8629166666667,23.3920101090273,18.85214999999998,59.36830000000009,123.6631793333333,89.64318097454289,20.15214999999998,175.41869400000007
10,0.5,0.5,75%,77.24217573473454,6.123852725630241,71.01524929509657,83.2574681262506,5649.908772490898,281.84931952863263,5373.055924573972,5936.502042838723,1047.4251374908997,281.8493195286329,770.5722895739742,1334.0184078387258,4602.483634999998,0.0,4602.483634999998,4602.483634999998,3612.233491157585,2319.8653632628066,936.9337748387792,5067.585832573974,7167.291988666686,2577.3510588711733,4205.399002000053,8899.497178000005,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,77.80026266666603,66.25117086551506,1.3,116.05039400000008,0.0,0.0,0.0,0.0,45.862916666666656,23.392010109027268,18.85214999999998,59.36830000000002,123.66317933333266,89.64318097454232,20.15214999999998,175.41869400000007
10,0.6,0.6,0%,67.39333065811343,7.065414730705645,62.335531411038446,75.46606337790193,5482.846852454665,390.22146807072556,5036.9914096640005,5762.188111619998,1800.859944454665,390.2214680707255,1355.004501664,2080.2012036199976,3681.9869080000003,0.0,3681.986908,3681.986908,3078.1088020348666,2298.9345745267096,424.1241606606004,4453.82812208,6800.229219580204,2553.3478327471903,3866.9033190406017,8524.349983700005,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,51.59044841980016,47.510799140201996,0.9750000000000004,95.2239283000002,0.0,0.0,0.0,0.0,34.035500000000106,28.070412130832604,1.6225800000002266,50.2419600000001,85.62594841980028,74.20320608119349,2.597580000000227,145.4658883000003
10,0.6,0.6,100%,69.60539149260678,6.6919625586919755,62.577647186282405,75.90143372695186,5360.675166970104,369.59577794894824,5012.945990784002,5748.81610489997,1678.6882589701038,369.59577794894784,1330.9590827840018,2066.8291968999697,3681.9869080000003,0.0,3681.986908,3681.986908,3495.9371165505327,2206.6375155332303,950.7521539406004,4872.328704483999,7340.22921958043,2553.3478327473263,4406.903319040632,9064.349983699996,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,51.5904484195465,47.51079914060723,0.9749999992391384,95.22392830000008,0.0,0.0,0.0,0.0,34.0355000000001,28.070412130832622,1.6225800000001982,50.2419600000001,85.6259484195466,74.20320608161913,2.597579999239336,145.4658883000002
10,0.6,0.6,25%,68.43454038120267,6.8062395865527465,62.57764718628842,75.90143372695188,5425.341043921212,375.9072757559754,5012.945990784001,5748.816104899637,1743.3541359212122,375.9072757559753,1330.9590827840009,2066.8291968996373,3681.9869080000003,0.0,3681.986908,3681.986908,3155.702993501534,2260.2073571971473,545.8521539406001,4467.428704484001,6935.329219580322,2553.347832746982,4002.003319040961,8659.449983700002,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,51.59044841980013,47.51079914020193,0.9750000000000016,95.22392830000004,0.0,0.0,0.0,0.0,34.0355000000001,28.070412130832622,1.6225800000001982,50.2419600000001,85.62594841980024,74.20320608119344,2.5975800000002,145.46588830000013
10,0.6,0.6,50%,69.21278938311156,6.662054398241758,62.577647186282405,75.90143372695188,5382.358504378323,367.94395612064716,5012.945990784001,5748.81610489997,1700.3715963783234,367.94395612064716,1330.9590827840009,2066.82919689997,3681.9869080000003,0.0,3681.986908,3681.986908,3247.620453958533,2224.115475786307,680.7521539406002,4602.328704483999,7070.229219580212,2553.34783274717,4136.903319040633,8794.349983699998,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,51.59044841980013,47.510799140201975,0.975000000000001,95.22392830000015,0.0,0.0,0.0,0.0,34.035500000000084,28.070412130832633,1.6225800000001698,50.24196000000008,85.62594841980022,74.2032060811935,2.5975800000001708,145.46588830000024
10,0.6,0.6,75%,69.60539149260669,6.691962558692128,62.577647186282114,75.90143372695186,5360.675166970109,369.5957779489568,5012.945990784002,5748.816104899986,1678.688258970109,369.5957779489562,1330.9590827840018,2066.8291968999856,3681.9869080000003,0.0,3681.986908,3681.986908,3361.0371165505335,2206.6375155332307,815.8521539406004,4737.428704483999,7205.329219580428,2553.347832747338,4272.003319040615,8929.4499837,57.707126400000014,21.180187620596488,33.45598079999999,72.57346559999999,51.590448419546455,47.510799140607226,0.9749999992391384,95.22392830000008,0.0,0.0,0.0,0.0,34.0355000000001,28.070412130832622,1.6225800000001982,50.2419600000001,85.62594841954656,74.20320608161911,2.597579999239336,145.4658883000002
