init_label,Def_total_Hm3,Rebalse_total_Hm3,Satisf_prom_pct,TOTAL_fin_Hm3,Qturb_total_Hm3,Qdis_prom_Hm3_mes,FE
Init 0%,5745.904622832572,3303.1293414992397,75.15643555715597,123.6631793333333,6762.191988666662,57.707126400000014,0.5
Init 25%,5686.828909824234,3379.153628490918,76.43999716635089,123.66317933333266,6897.291988666679,57.707126400000014,0.5
Init 50%,5662.841306240924,3490.066024907592,76.96118540917034,123.6631793333333,7032.191988666663,57.707126400000014,0.5
Init 75%,5649.908772490898,3612.233491157585,77.24217573473454,123.66317933333266,7167.291988666686,57.707126400000014,0.5
Init 100%,5649.90877249092,3747.133491157579,77.24217573473408,123.66317933333096,7302.191988666657,57.707126400000014,0.5
Init 0%,5482.846852454665,3078.1088020348666,67.39333065811343,85.62594841980028,6800.229219580204,57.707126400000014,0.6
Init 25%,5425.341043921212,3155.702993501534,68.43454038120267,85.62594841980024,6935.329219580322,57.707126400000014,0.6
Init 50%,5382.358504378323,3247.620453958533,69.21278938311156,85.62594841980022,7070.229219580212,57.707126400000014,0.6
Init 75%,5360.675166970109,3361.0371165505335,69.60539149260669,85.62594841954656,7205.329219580428,57.707126400000014,0.6
Init 100%,5360.675166970104,3495.9371165505327,69.60539149260678,85.6259484195466,7340.22921958043,57.707126400000014,0.6
Init 0%,5217.862917918951,2851.9935494201286,61.87814897158,46.75726649999979,6839.097901501828,57.707126400000014,0.7
Init 25%,5145.513727253003,2914.744358753002,63.00097737100831,46.75726649999948,6974.197901500001,57.707126400000014,0.7
Init 50%,5100.655393919669,3004.7860254196694,63.69715945893588,46.75726649999947,7109.0979015,57.707126400000014,0.7
Init 75%,5067.283933804693,3106.514565304836,64.21507020268548,46.75726649999922,7244.197901500142,57.707126400000014,0.7
Init 100%,5067.283933804712,3241.414565304836,64.21507020268517,46.757266499999936,7379.097901500124,57.707126400000014,0.7
Init 0%,5014.157661413268,2672.094372746687,56.90962126292723,22.951186666666697,6862.90398133346,57.707126400000014,0.8
Init 25%,4931.4929462132595,2724.5296575467114,58.03217706317193,22.951186666605754,6998.003981333536,57.707126400000014,0.8
Init 50%,4886.526279546423,2814.462990880154,58.64280751610892,22.95118666650045,7132.903981333874,57.707126400000014,0.8
Init 75%,4849.613759413259,2912.6504707467125,59.14406568263033,22.951186666605196,7268.00398133354,57.707126400000014,0.8
Init 100%,4849.613759413136,3047.550470746681,59.14406568263152,22.951186666644627,7402.903981333625,57.707126400000014,0.8
Init 0%,4886.594463876664,2554.572198223339,52.12611697644531,13.451830319999857,6872.945004346692,57.707126400000014,0.9
Init 25%,4800.118962703218,2603.1966970500066,53.16994350373636,13.451830319998187,7008.045004346829,57.707126400000014,0.9
Init 50%,4755.152296036601,2693.130030383341,53.712726128567,13.451830319998223,7142.945004346762,57.707126400000014,0.9
Init 75%,4718.03529590327,2791.113030250009,54.16075717582197,13.451830319998223,7278.045004346762,57.707126400000014,0.9
Init 100%,4718.03529590327,2926.0130302500093,54.16075717582197,13.451830319998223,7412.945004346762,57.707126400000014,0.9
Init 0%,4789.260025480334,2465.244056813674,47.970917386213216,5.553866666666526,6880.951301333342,57.707126400000014,1.0
Init 25%,4697.438369000116,2508.522400333675,48.96844028647897,5.553866666666558,7016.0513013335585,57.707126400000014,1.0
Init 50%,4651.221989373442,2597.206020707008,49.470521155112785,5.553866666666558,7150.951301333567,57.707126400000014,1.0
Init 75%,4613.900509240116,2694.9845405736696,49.875970506953074,5.553866666666558,7286.051301333556,57.707126400000014,1.0
Init 100%,4613.900509240056,2829.8845405736647,49.875970506953735,5.553866666666558,7420.951301333686,57.707126400000014,1.0
